,,timestamp,Open,High,Low,Close,Volume,ema,sma,bb_high_indicator,bb_low_indicator
1618246800000.0,2021-04-12 17:00:00,59972.5,59725.35,59749.4,1724.629658,103212476.19814567,59493.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618243200000.0,2021-04-12 16:00:00,60112.36,59703.02,59972.5,2692.01222,161439019.0918692,85139.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618239600000.0,2021-04-12 15:00:00,60129.43,59610.96,59986.83,3077.065446,184240260.9864117,112588.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618236000000.0,2021-04-12 14:00:00,60345.5,59873.04,59888.44,2994.841826,180088285.4164285,75982.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618232400000.0,2021-04-12 13:00:00,60584.28,60280.0,60304.69,2386.622666,144183616.53730357,63945.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618228800000.0,2021-04-12 12:00:00,60564.19,60151.03,60421.84,2578.459033,155574456.82288808,87510.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618225200000.0,2021-04-12 11:00:00,60269.02,59727.45,60241.5,2995.374453,179774594.90688285,75224.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618221600000.0,2021-04-12 10:00:00,60277.76,59350.59,59776.71,4161.93653,249095462.68934557,110719.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618218000000.0,2021-04-12 09:00:00,60878.25,59651.0,59992.22,4139.125287,249922167.3121846,132174.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618214400000.0,2021-04-12 08:00:00,60840.57,60536.35,60694.42,2470.51527,149955355.77076527,78229.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
